"title","budget_usd","rating"
"Nightcap",270000,"6.7"
"Cashback",270000,"7.1"
"Love, Rosie",27500000,"7.1"
"Little Richard: I Am Everything",27000000,"7.4"
"Sigur Rós: Inni",27000000,"7.8"
"Studio 54",27000000,"7"
"The Lovers & the Despot",27000000,"6.6"
"Winter in Wartime",27000000,"7"
"Wait for Your Laugh",27000000,"8.2"
"Twice Born",27000000,"7.3"
"Clean",27000000,"6.8"
"Past Life",27000000,"6.5"
"Already Tomorrow in Hong Kong",27000000,"6.4"
"Revelation: Dawn of Global Government",27000000,"7.1"
"Gringo Wedding",27000000,"4.8"
"Felix and Meira",27000000,"6.7"
"All the Queen's Men",27000000,"4.8"
"King Georges",27000000,"6.8"
"God the Father",27000000,"5.1"
"Chopper",27000000,"7.1"
"Girls vs Gangsters",260000000,"3.3"
"Nowhere Special",260000000,"7.4"
"Nancy",26400000,"6.2"
"The Lumber Baron",26350000,"6"
"Miss & Mrs. Cops",26000000,"6.2"
"Nue propriété",26000000,"6.8"
"The Teacher",26000000,"7.2"
"Ailey",26000000,"6.8"
"The Legend of God's Gun",26000000,"3.8"
"Big Star: Nothing Can Hurt Me",26000000,"7.1"
"Khiladi 420",26000000,"5.2"
"GMO OMG",26000000,"6.3"
"Manderlay",26000000,"7.2"
"High on the Hog",26000000,"3.5"
"Embattled",26000000,"6.5"
"In Jackson Heights",26000000,"7.2"
"Back to Burgundy",26000000,"6.8"
"Man from Reno",26000000,"6.6"
"Spun",26000000,"6.7"
"Kings of Pastry",26000000,"6.9"
"Party Monster",26000000,"6.2"
"Mga munting tinig",26000000,"7"
"Lost Illusions",26000000,"7.4"
"First Snow",26000000,"6.2"
"Leviathan",26000000,"7.6"
"No Impact Man: The Documentary",26000000,"6.6"
"Head-On",26000000,"7.9"
"Rain",26000000,"6.9"
"I Can't Think Straight",26000000,"6.4"
"Sacrifice",26000000,"6.2"
"Poser",26000000,"5.9"
"Flame & Citron",26000000,"7.2"
"Blackthorn",26000000,"6.5"
"Bad Shabbos",26000000,"7.4"
"American Deep State",26000000,"7.7"
"No News from God",26000000,"6.3"
"The Girl with the Needle",26000000,"7.5"
"Afternoon of a Faun: Tanaquil Le Clercq",26000000,"7.2"
"You Will Be My Son",26000000,"6.9"
"It's a Disaster",258000000,"6.4"
"Breathe In",250050,"6.3"
"The Civil Dead",250000000,"6.2"
"Crossing",250000000,"7.4"
"Passione",250000000,"6.9"
"Remember Me, My Love",250000000,"6.4"
"Le code a changé",250000000,"5.8"
"Where Do We Go Now?",250000000,"7.4"
"Sister",250000000,"7"
"Stoned",250000000,"5.7"
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",250000000,"6.8"
"Summertime",250000000,"6.7"
"Riders of Justice",250000000,"7.5"
"Under the Sun",250000000,"7.4"
"The FP",250000000,"5.4"
"Breaking Upwards",250000000,"6"
"Restless",250000000,"6.7"
"War Dance",250000000,"7.8"
"In the Realms of the Unreal",250000,"7.3"
"Kill Me Three Times",250000,"5.8"
"Kisses",250000,"7.2"
"Heneral Luna",250000,"7.2"
"The Other Side of Hope",250000,"7.2"
"After Tiller",250000,"7.4"
"The Heart Stays",250000,"7.1"
"Exiled",250000,"7.2"
"Ip Man: The Final Fight",250000,"6.1"
"Killer Unicorn",250000,"3.2"
"The New Year's Eve of Old Lee",250000,"4.6"
"Love Liza",250000,"6.9"
"Amira & Sam",250000,"6.2"
"Lawless Heart",250000,"6.6"
"The Human Factor",250000,"7.5"
"Cama adentro",250000,"7"
"Cartel Land",250000,"7.3"
"Kokomo City",250000,"7.1"
"Savannah",250000,"5.8"
"Two Night Stand",250000,"6.3"
"Rape of the Soul",250000,"1.6"
"À Tout de Suite",250000,"6.4"
"Deliver Us from Evil",250000,"7.9"
"Starlet",250000,"7"
"Five Times Two",250000,"6.6"
"Morris from America",250000,"6.3"
"The Loneliest Planet",250000,"5.6"
"Populaire",250000,"6.8"
"Cora Bora",250000,"5.6"
"Nine Days",250000,"6.8"
"Samoan Wedding",250000,"6.3"
"Stonewall Uprising",250000,"7.3"
"Ms. Purple",250000,"6.3"
"Cezanne et Moi",250000,"6.1"
"Dust to Glory",250000,"7.3"
"I Smile Back",25500000,"6.2"
"Barely Legal",25100000,"4.7"
"Least Among Saints",25000000,"6.4"
"Mr Ya Miss",25000000,"3.8"
"The Mountain",25000000,"5.5"
"The Other F Word",25000000,"7.2"
"The Booksellers",25000000,"6.9"
"December Boys",25000000,"6.5"
"Carancho",25000000,"6.8"
"The Disappearance of Shere Hite",25000000,"7.5"
"Dirty Laundry",25000000,"6.2"
"Life After Beth",25000000,"5.7"
"First We Take Brooklyn",25000000,"4.1"
"Up the Yangtze",25000000,"7.5"
"The Delicate Art of Parking",25000000,"6.4"
"Aferim!",25000000,"7.6"
"Man of God",25000000,"7"
"Unidentified",25000000,"3.4"
"Equal Standard",25000000,"5"
"Nostalgia",25000000,"5.6"
"The Elephant King",25000000,"6.2"
"The Château",25000000,"5.2"
"Toni Erdmann",25000000,"7.3"
"This Ain't No Mouse Music",25000000,"7.5"
"Lana's Rain",25000000,"6.3"
"A Five Star Life",25000000,"6.2"
"Green Dragon",25000000,"6.1"
"Good Mourning",25000000,"3.1"
"Long Shot: The Kevin Laue Story",25000000,"7.7"
"Jane by Charlotte",25000000,"6.6"
"Rafiki",25000000,"6.8"
"Multiple Sarcasms",25000000,"4.7"
"Vatel",25000000,"6.6"
"Anthropocene: The Human Epoch",25000000,"7.2"
"Like Father, Like Son",25000000,"7.8"
"A Breath Away",25000000,"5.9"
"A Love Song",25000000,"6.7"
"Frank",25000000,"6.9"
"Undoing",25000000,"4.3"
"The Guys",25000000,"6.3"
"World Traveler",25000000,"5.3"
"State of Fear",25000000,"7.6"
"Dahmer",25000000,"5.6"
"At Any Price",25000000,"5.6"
"Kings & Queen",25000000,"7"
"The World According to Allee Willis",25000000,"8"
"Black Sheep",25000000,"5.8"
"Tio Papi",25000000,"6.1"
"Startup.com",25000000,"7.1"
"White God",25000000,"6.8"
"Aileen: Life and Death of a Serial Killer",25000000,"7.1"
"Enemy",25000000,"6.9"
"Beautiful Boy",25000000,"6.6"
"The Burnt Orange Heresy",25000000,"6.1"
"An Unfinished Film",25000000,"7.2"
"Le Quattro Volte",25000000,"7.2"
"River",25000000,"7.1"
"The Last Ride",25000000,"5.8"
"The Conquest",25000000,"6.3"
"Amen.",25000000,"7.2"
"Never Rarely Sometimes Always",25000000,"7.4"
"Let it Rain",25000000,"6"
"Revanche",25000000,"7.5"
"Rubber",25000000,"5.7"
"Hunt",25000000,"6.7"
"Cliffs of Freedom",25000000,"6.1"
"Worlds Apart",25000000,"7.4"
"The Square",25000000,"8"
"Pavilion of Women",25000000,"5.8"
"Pleasure",25000000,"6.3"
"Holy Spider",25000000,"7.3"
"Being Frank",25000000,"6.1"
"Fighting Spirit: A Combat Chaplain's Journey",25000000,"8.6"
"Compliance",25000000,"6.4"
"My Name Is Bruce",25000000,"6.1"
"The Lottery",25000000,"7"
"Colliding Dreams",25000000,"7.2"
"All's Faire in Love",25000000,"4.8"
"Shrink",25000000,"6.6"
"The House I Live In",25000000,"7.9"
"Blackway",25000000,"5.3"
"War Eagle, Arkansas",25000000,"6.2"
"Winnebago Man",25000000,"7.2"
"Ca$h",25000000,"5.9"
"The Cuckoo",25000000,"7.7"
"Muran",25000000,"6.3"
"Queens",25000000,"6.5"
"The Invisible War",25000000,"7.6"
"Russian Dolls",25000000,"7"
"The Man Standing Next",25000000,"7"
"Pick of the Litter",25000000,"7.6"
"Lumpia with a Vengeance",25000000,"7.8"
"Tom Dowd & the Language of Music",25000000,"8.2"
"Broadway: The Golden Age, by the Legends Who Were There",25000000,"8.3"
"The Walker",25000000,"5.8"
"Senior Moment",25000000,"5.6"
"Museo",25000000,"6.8"
"Loving Pablo",25000000,"6.4"
"Polisse",25000000,"7.3"
"Crude",25000000,"7.5"
"Buried: The 1982 Alpine Meadows Avalanche",25000000,"7.4"
"Pinjar",25000000,"7.9"
"The Women's Balcony",25000000,"6.6"
"Chasing Trane: The John Coltrane Documentary",25000000,"7.3"
"The Merry Gentleman",1600000,"6.3"
"Byzantium",25000000,"6.5"
"John and the Hole",25000000,"5.2"
"South of Heaven, West of Hell",25000000,"4.3"
"The Housemaid",25000000,"6.4"
"Escaflowne: The Movie",25000000,"6.6"
"Balzac and the Little Chinese Seamstress",25000000,"7.2"
"Eat That Question: Frank Zappa in His Own Words",25000000,"7.5"
"Days and Clouds",25000000,"6.9"
"In Viaggio: The Travels of Pope Francis",25000000,"6.4"
"Dara of Jasenovac",25000000,"8.1"
"Beneath the Harvest Sky",25000000,"6.1"
"Mister Lonely",25000000,"6.4"
"Hollywood Buddha",25000000,"4.9"
"Decoding Annie Parker",25000000,"6.2"
"Sade",25000000,"6.1"
"Evidence of a Haunting",25000000,"2.4"
"My Kingdom",25000000,"5.2"
"Trespass",25000000,"5.3"
"Touched with Fire",25000000,"6.2"
"The Price of Everything",25000000,"7.2"
"Big Sur",25000000,"5.7"
"White Irish Drinkers",25000000,"6.7"
"The Last Dispatch",25000000,"7.8"
"Heaven Knows What",25000000,"6.8"
"The Young Lieutenant",25000000,"6.9"
"Oasis: Supersonic",25000000,"7.8"
"The Artist and the Model",25000000,"6.6"
"Big Game",25000000,"5.4"
"Norman Lear: Just Another Version of You",25000000,"7.3"
"Mountain Patrol",25000000,"7.6"
"Nico and Dani",25000000,"6.7"
"Client 9",25000000,"7.3"
"Maze",25000000,"6.3"
"Mia and the Migoo",25000000,"6.6"
"Coherence",25000000,"7.2"
"Mapplethorpe",25000000,"6.2"
"Rajkumar",25000000,"7.3"
"When Comedy Went to School",25000000,"6.2"
"Kippur",25000000,"6.3"
"Red Road",25000000,"6.8"
"Hesburgh",25000000,"8"
"Genius Within: The Inner Life of Glenn Gould",25000000,"7.4"
"The Maid",25000000,"7.3"
"The First Time",25000000,"6.8"
"XX/XY",25000000,"5.9"
"The Square",25000000,"6.7"
"Marcelino Pan y Vino",25000000,"5.9"
"Champion",25000000,"6.4"
"Kalakalappu",25000000,"7"
"Everybody's Famous!",25000000,"6.9"
"The Cockettes",25000000,"7.3"
"I Carry You with Me",25000000,"6.7"
"Leonard Cohen: I'm Your Man",25000000,"6.8"
"Fast Food Fast Women",25000000,"6.4"
"Dave Made a Maze",25000000,"6.3"
"For a Few Bullets",25000000,"5.3"
"Hampstead",25000000,"6.1"
"Young Goethe in Love",25000000,"6.6"
"Lebanon",25000000,"6.9"
"Naqoyqatsi",25000000,"6.4"
"The Road Movie",25000000,"6.4"
"Beyond a Reasonable Doubt",25000000,"5.8"
"Wild City",25000000,"5.7"
"Neal 'n' Nikki",1600000,"3.2"
"Wasted! The Story of Food Waste",25000000,"7.5"
"Una noche",25000000,"6.7"
"Garçon stupide",25000000,"6.1"
"Baby Blues",25000000,"4.6"
"Femme",25000000,"7.3"
"Montana Story",25000000,"6.5"
"On a Clear Day",25000000,"6.9"
"Sophie Scholl: The Final Days",25000,"7.6"
"The Black Power Mixtape 1967-1975",25000,"7.6"
"Bustin' Down the Door",25000,"7.1"
"Dead Snow 2: Red vs. Dead",25000,"6.8"
"Killer Diller",25000,"6.7"
"The Baader Meinhof Complex",25000,"7.3"
"Gay Sex in the 70s",25000,"7"
"The Breadwinner",25000,"7.7"
"Detropia",25000,"6.5"
"Mysterious Skin",245000000,"7.6"
"The Count of Monte-Cristo",245000000,"7.6"
"Moondance Alexander",245000,"6.2"
"Knights of Badassdom",242000,"5.6"
"Jean-Michel Basquiat: The Radiant Child",240000,"7.7"
"Strangerland",24834096,"5.2"
"Wet Hot American Summer",24350000,"6.5"
"Revenge of the Electric Car",24000000,"7.1"
"Sabbath Queen",24000000,"8"
"Spellbound",24000000,"7.6"
"Eating Out",24000000,"5.8"
"Wasabi",24000000,"6.6"
"The Last Mountain",24000000,"7.8"
"New York Doll",24000000,"7.7"
"Goodland",24000000,"5.1"
"Trapped",24000000,"7.2"
"Sonny",24000000,"5.6"
"Forks Over Knives",24000000,"7.7"
"Jesus Camp",24000000,"7.4"
"We Are the Best!",24000000,"7.1"
"My Perestroika",24000000,"7.2"
"What They Had",24000000,"6.7"
"Dongju: The Portrait of a Poet",24000000,"7.2"
"Encounters at the End of the World",24000000,"7.7"
"Good Kill",24000000,"6.4"
"A Rumor of Angels",24000000,"6.8"
"God's Own Country",24000000,"7.6"
"Results",24000000,"5.5"
"Painted Skin: The Resurrection",24000000,"6.2"
"My Way",24000000,"7.6"
"The Beta Test",24000000,"6.1"
"Ivory Tower",24000000,"7"
"Dirty Girl",24000000,"6.4"
"Around the Bend",24000000,"6.4"
"Synonyms",24000000,"6.3"
"On the Ice",24000000,"6.3"
"The King Is Alive",24000000,"6.3"
"Carandiru",24000000,"7.6"
"Crazy Love",24000,"7"
"The Land",237000000,"6.4"
"Double Trouble",230000000,"4.2"
"The Love Witch",230000000,"6.2"
"(Untitled)",230000,"6.2"
"Offside",23900000,"7.3"
"Panic",23600000,"6.6"
"5 to 7",23000000,"7.1"
"Madeline's Madeline",23000000,"6.3"
"Julia",23000000,"7.6"
"Drawing Restraint 9",23000000,"6.5"
"The Son of No One",23000000,"5.1"
"Gangnam 1970",23000000,"6.2"
"Trust Fund",23000000,"4.8"
"Dangerous Liaisons",23000000,"6"
"The Reckoning",23000000,"6.4"
"The Brink",23000000,"6.4"
"Skate Kitchen",23000000,"6.8"
"Awesome; I Shot That!",23000000,"7.5"
"Vincere",23000000,"6.8"
"American Hardcore",23000000,"7.3"
"Meeting Gorbachev",23000000,"7.2"
"Red Right Hand",23000000,"5.5"
"Legends from the Sky",23000000,"5.2"
"Downfall",23000000,"8.2"
"Phil Ochs: There But for Fortune",23000000,"7.7"
"Wendy and Lucy",23000000,"7.1"
"Truman",23000000,"7.3"
"Better Man",23000000,"7.6"
"The Wedding Guest",23000000,"5.8"
"Bobi Wine: The People's President",23000000,"7.1"
"The Tomorrow Man",23000000,"5.9"
"Cold Case Hammarskjöld",23000000,"7.5"
"American Promise",23000000,"7.1"
"The Night Is Short, Walk on Girl",225000000,"7.5"
"The Ignorant Fairies",225000000,"7.3"
"Banjo",225000000,"5"
"Rampant",225000000,"6.3"
"Anaïs in Love",225000000,"6.4"
"The Chorus",225000,"7.8"
"¡He matado a mi marido!",225000,"6.2"
"The Golden Boys",220000000,"6"
"Woman at War",220000000,"7.4"
"Mansome",220000,"5.4"
"Bolivar soy yo",220,"6.4"
"End of the Century: The Story of the Ramones",22500000,"7.9"
"Cunningham",22500000,"6.6"
"This Is England",22500000,"7.7"
"The Animation Show",22400000,"7.5"
"Brief Interviews with Hideous Men",22000000,"5.4"
"The Details",22000000,"6.1"
"The Mystic Masseur",22000000,"5.8"
"Lost Embrace",22000000,"6.9"
"Oranges and Sunshine",22000000,"7.1"
"Marie Curie: The Courage of Knowledge",22000000,"5.6"
"Tamara Drewe",22000000,"6.2"
"The Aryan Couple",22000000,"6.3"
"Knock Knock",22000000,"4.9"
"Nikamma",22000000,"2.8"
"Before We Go",22000000,"6.8"
"Cheap Thrills",22000000,"6.7"
"A Girl Cut in Two",22000000,"6.2"
"Drugstore June",22000000,"5.4"
"I, Daniel Blake",22000000,"7.8"
"P.S.",22000000,"6.1"
"Underdogs",22000000,"5.8"
"Millennium Actress",22000000,"7.8"
"Frantz",22000000,"7.5"
"Brooklyn Castle",22000000,"7.2"
"Rats!",22000000,"7.9"
"My Flesh and Blood",22000000,"8.3"
"Monday",22000000,"5.7"
"Mysterious Circumstance: The Death of Meriwether Lewis",22000000,"4.6"
"Beyond the Mask",22000000,"5.1"
"Divide and Conquer",22000000,"7.1"
"Brother",22000000,"7.2"
"The Angels' Share",22000000,"7"
"The Page Turner",22000000,"7"
"In the Land of Blood and Honey",22000000,"4.7"
"The Extra Man",22000000,"5.8"
"Holy Motors",22000000,"7"
"Expelled from Paradise",22000000,"6.6"
"Satin Rouge",22000000,"6.7"
"Awake: The Life of Yogananda",22000000,"7.2"
"Agnivarsha: The Fire and the Rain",22000000,"4.6"
"Poetry",22000000,"7.8"
"Jay Myself",22000000,"7.1"
"The Endurance",22000000,"7.8"
"Time Out of Mind",22000000,"5.7"
"Signature Move",22000000,"5.8"
"How to Kill Your Neighbor's Dog",22000000,"6.8"
"Shed of the Dead",22000000,"4.2"
"Eden",22000000,"6.4"
"The Wonder of it All",22000000,"7.2"
"A.C.O.D.",22000000,"5.7"
"All Things Must Pass",22000000,"7.3"
"The Holy Land",22000000,"6.4"
"Road to Ninja - Naruto the Movie",22000000,"7.6"
"Gonjiam: Haunted Asylum",22000000,"6.5"
"Delirious",22000000,"6.4"
"The Beaches of Agnès",22000000,"8"
"The Hunter",217000000,"6.7"
"The Nowhere Inn",215000000,"5.7"
"Oolong Courtyard: KungFu School",215000000,"4.9"
"Stander",215000,"7"
"Freakscene: The Story of Dinosaur Jr.",210000000,"6.8"
"A Casa de Alice",210000000,"6.9"
"Gemma Bovery",210000,"6.4"
"The Strange Case of Dr. Jekyll and Mr. Hyde",21800000,"3.7"
"Appropriate Behavior",21500000,"6.5"
"Shaolin",21500000,"6.8"
"Jeepers Creepers III",21400000,"3.9"
"Redemption Road",21400000,"5.7"
"The Girl on the Train",21150000,"6"
"Ismael's Ghosts",21000000,"5.5"
"The Salt of Life",21000000,"6.3"
"Not Fade Away",21000000,"6"
"Both Sides of the Blade",21000000,"6.1"
"One Day You'll Understand",21000000,"5.7"
"The Event",21000000,"6.1"
"Don't Think I've Forgotten: Cambodia's Lost Rock and Roll",21000000,"7.8"
"Edmond",21000000,"6.2"
"The Fluffer",21000000,"5.7"
"Aniara",21000000,"6.3"
"Yoo-Hoo, Mrs. Goldberg",21000000,"7.4"
"Fidel",21000000,"7.5"
"Super Dark Times",21000000,"6.6"
"Aftershock",21000000,"7.5"
"Sword of Trust",21000000,"6.3"
"Noryang: Deadly Sea",21000000,"6.3"
"My Brothers' Crossing",21000000,"3.1"
"Deadfall",21000000,"6.2"
"Yossi & Jagger",21000000,"7.1"
"Mother of Tears",21000000,"5"
"Frankie",21000000,"5.4"
"Batkid Begins: The Wish Heard Around the World",21000000,"7.1"
"Mike Wallace Is Here",21000000,"7.4"
"Mademoiselle Chambon",21000000,"6.9"
"Police, Adjective",21000000,"6.9"
"Time of Favor",209000000,"6.7"
"The Air I Breathe",207000000,"6.7"
"Asambhav",205000000,"3.8"
"Drinking Buddies",205000000,"6.1"
"Better Than Sex",200000000,"6.3"
"The Kingmaker",200000000,"7.6"
"Tokyo Cowboy",200000000,"7.5"
"Strayed",200000000,"6.5"
"The Secrets",200000000,"7"
"Waiting for Lightning",200000000,"7.3"
"The Hebrew Hammer",200000000,"6.1"
"Dark Blue World",200000000,"7.1"
"Family",200000000,"6.4"
"Art Bastard",200000000,"6.5"
"Mozart and the Whale",200000000,"6.7"
"The Stolen Valley",200000000,"4.7"
"Ride Your Wave",200000000,"6.8"
"Rent-A-Pal",200000000,"6.3"
"Spring",200000000,"6.7"
"Klown",200000000,"7.1"
"Heart of Africa",200000000,"7.1"
"Beloved Sisters",200000000,"6.2"
"It's All Gone Pete Tong",200000000,"7.2"
"Letters from Baghdad",200000000,"6.9"
"Mainstream",200000000,"5"
"The Bay",200000000,"5.7"
"The Advocate: A Missing Body",200000000,"6.5"
"A Secret Promise",200000000,"5.3"
"The Return",200000000,"7.9"
"The Other Dream Team",200000000,"8.3"
"Christian Mingle",200000000,"4.2"
"Give Me Five",200000000,"5.2"
"Liza: A Truly Terrific Absolutely True Story",200000000,"8.2"
"The Experiment",200000000,"7.7"
"A Touch of Sin",200000000,"7.1"
"Restless Creature: Wendy Whelan",200000000,"7.2"
"Jimmy's Hall",200000000,"6.7"
"Far From the Tree",200000000,"7.7"
"Altered Reality",200000000,"6.2"
"Wedding Palace",200000000,"5.6"
"Toys in the Attic",200000000,"6.4"
"The Flat",200000000,"7"
"Marguerite",200000000,"6.9"
"The Pod Generation",200000000,"5.6"
"Fierce People",200000000,"6.4"
"Redemption",200000000,"6.2"
"Leo Da Vinci: Mission Mona Lisa",200000000,"5.1"
"The Body",200000000,"5.3"
"Murderous Maids",200000000,"6.8"
"Maxed Out",200000000,"7.2"
"Meek's Cutoff",200000000,"6.5"
"Racing Dreams",200000000,"7.1"
"Nowitzki: The Perfect Shot",200000000,"7.5"
"Thérèse",200000000,"6"
"3-Iron",200000000,"7.9"
"Red Army",200000000,"7.6"
"The Wasp",200000000,"6.1"
"JCVD",200000000,"7"
"The Princess and the Matchmaker",200000000,"6.3"
"Wind Chill",200000000,"5.8"
"Burden",200000000,"6.7"
"Code 46",200000,"6.1"
"Life Happens",200000,"5.6"
"Song One",200000,"5.8"
"The Black Panthers: Vanguard of the Revolution",200000,"7.4"
"The Life Before Her Eyes",200000,"6.2"
"Sholem Aleichem: Laughing in the Darkness",200000,"7.2"
"Dheepan",200000,"7.2"
"Snake & Mongoose",200000,"5.7"
"Jeremiah Tower: The Last Magnificent",200000,"6.6"
"Damsel",200000,"5.6"
"Still Walking",200000,"7.9"
"Merchants of Doubt",200000,"7.6"
"The Sweeney",200000,"6.1"
"Mustang",200000,"7.6"
"Unholy Song",200000,"8"
"Battle in Heaven",200000,"5.5"
"Gunnin' for That #1 Spot",200000,"6.4"
"Eagle vs Shark",200000,"6.7"
"1945",200000,"7.1"
"Winter Solstice",200000,"6"
"Last Train Home",200000,"7.6"
"Wrong",200000,"6.2"
"Dig!",200000,"7.7"
"The First Grader",200000,"7.4"
"The Whistlers",200000,"6.3"
"Sick of Myself",200000,"7.1"
"Spree",200000,"5.9"
"Love Songs",200000,"7"
"Unplugging",200000,"4.4"
"Monsters",200000,"6.3"
"One Child Nation",200000,"7.5"
"Kaptein Sabeltann",20500000,"5.6"
"To Be and to Have",20500000,"7.8"
"Project Wolf Hunting",20470000,"6"
"Confetti",20300000,"5.7"
"Paan Singh Tomar",20000000,"8.2"
"Chaos",20000000,"7"
"The Zodiac",20000000,"5.3"
"Tango Shalom",20000000,"5.8"
"Garage Days",20000000,"5.8"
"Tales from Earthsea",20000000,"6.3"
"Ballplayer: Pelotero",20000000,"7.3"
"Immortal Hero",20000000,"5.8"
"Inspector Bellamy",20000000,"5.9"
"Joyland",20000000,"7.6"
"Tiny Times 2.0",20000000,"3.5"
"Chico & Rita",20000000,"7.2"
"A Mistake",20000000,"5.5"
"Marjorie Prime",20000000,"6.3"
"Charlie Says",20000000,"5.9"
"Hattrick",20000000,"4.3"
"Time to Leave",20000000,"7.1"
"Spinning Plates",20000000,"7.1"
"An Inconsistent Truth",20000000,"5"
"Bereavement",20000000,"5"
"Wastelander",20000000,"2.7"
"10th & Wolf",20000000,"6.2"
"The Bounty Killer",20000000,"5.4"
"Lost River",20000000,"5.7"
"The Tripper",20000000,"5"
"Madame Bovary",20000000,"5.7"
"Ted K",20000000,"6"
"The Boys & Girl from County Clare",20000000,"6.5"
"Art and Craft",20000000,"7.1"
"Joe Strummer: The Future Is Unwritten",20000000,"7.5"
"Linoleum",20000000,"6.5"
"My Afternoons with Margueritte",20000000,"7.2"
"The Summit",20000000,"6.8"
"Soul Kitchen",20000000,"7.2"
"Teddy's Christmas",20000000,"6.1"
"The Actor",20000000,"7.6"
"Miss Juneteenth",20000000,"6.5"
"Leaves of Grass",20000000,"6.4"
"Lay the Favorite",20000000,"4.9"
"Phantom of the Theatre",20000000,"5.2"
"The Red Turtle",20000000,"7.5"
"Eephus",20000000,"7.1"
"Fremont",20000000,"6.9"
"Gimme the Loot",20000000,"6.6"
"Monster Hunt",20000000,"6.1"
"Goodbye First Love",20000000,"6.7"
"Another Gay Sequel: Gays Gone Wild!",20000000,"4"
"Kinyarwanda",20000000,"6.8"
"Cutie and the Boxer",20000000,"7.2"
"First Love",20000000,"6.7"
"Old Henry",20000000,"7.3"
"Tully",20000000,"7.3"
"The Cave",20000000,"7.5"
"Steep",20000000,"7.2"
"Take Point",20000000,"5.4"
"Confidential Assignment",20000000,"6.7"
"Bluebeard",20000000,"6.4"
"Tiny Furniture",20000000,"6.2"
"Boy",20000000,"7.5"
"Asura",20000000,"6.7"
"The Bridge of San Luis Rey",20000000,"5"
"Joan Baez I Am a Noise",20000000,"7"
"Summer 1993",20000000,"7.1"
"The Midwife",20000000,"6.7"
"The Exception",20000000,"6.8"
"Psycho Beach Party",20000000,"6"
"Trembling Before G-d",20000000,"7"
"Sweet Sixteen",20000000,"4.8"
"Once Upon a Time in the Midlands",20000000,"6.1"
"What Maisie Knew",20000000,"7.4"
"God's Pocket",20000000,"6.1"
"Night Moves",20000000,"6.1"
"Waydowntown",20000000,"6.7"
"Summertime",20000000,"6.3"
"Higher Ground",20000000,"6.2"
"NOW: In the Wings on a World Stage",20000000,"7.1"
"Holy Hell",20000000,"4.2"
"No Greater Love",20000000,"7.3"
"Tracks",20000000,"7.1"
"South of the Border",20000000,"7"
"Love Me If You Dare",20000000,"7.5"
"Wild Oats",20000000,"5.7"
"Little Fish",20000000,"6.9"
"Ciao America",20000000,"7.8"
"Super Capers: The Origins of Ed and the Missing Bullion",20000000,"3.2"
"Somersault",20000000,"6.7"
"Slut in a Good Way",20000000,"6.5"
"Who We Are: A Chronicle of Racism in America",20000000,"7.7"
"Wicked Witches",20000000,"3"
"A Birder's Guide to Everything",20000000,"6.2"
"MLK/FBI",20000000,"7"
"The Dawn Wall",20000000,"8.1"
"Saint John of Las Vegas",20000000,"5.6"
"Human Capital",20000000,"7.2"
"Baran",20000000,"7.8"
"The Internet's Own Boy: The Story of Aaron Swartz",20000000,"8"
"Mayor of the Sunset Strip",20000000,"7"
"Protocols of Zion",20000000,"6.4"
"The Concert",20000000,"7.5"
"Piñero",20000000,"6.2"
"¡Casa Bonita Mi Amor!",20000000,"7.5"
"Valentino: The Last Emperor",20000000,"7.1"
"Die Geschichte vom weinenden Kamel",20000000,"7.4"
"A Simple Wedding",20000000,"5.4"
"Lila & Eve",20000000,"5.9"
"The Blue Room",20000000,"6.3"
"November",20000000,"5.4"
"Like Someone in Love",20000000,"7"
"Crumb Catcher",20000000,"5.9"
"Mini's First Time",20000000,"5.8"
"God Grew Tired of Us",20000000,"7.9"
"Janis: Little Girl Blue",20000000,"7.4"
"Life, Animated",20000000,"7.4"
"Tickled",20000000,"7.5"
"Living in Emergency",20000000,"7.9"
"Song of the Sea",20000000,"8"
"Sundown",20000000,"6.5"
"The Heart of Me",20000000,"6.5"
"Close Your Eyes",20000000,"6.1"
"Lovesickness",20000000,"7"
"Only the Strong Survive",20000000,"6.6"
"Taking Sides",20000000,"7.1"
"Yardie",20000000,"5.8"
"Elliot the Littlest Reindeer",20000000,"5"
"Nowhere in Africa",20000000,"7.5"
"Kalamazoo?",20000000,"4.6"
"Francofonia",20000000,"6.6"
"56 Up",20000000,"7.9"
"Labyrinth of Lies",20000000,"7.3"
"Bangkok Revenge",20000000,"4.9"
"Sanam Teri Kasam",20000000,"7.6"
"Ophelia",20000000,"6.5"
"Kon-Tiki",20000000,"7.1"
"The Sound of Violet",20000000,"5.3"
"Enter the Fat Dragon",20000000,"5.7"
"Twenty Two",20000000,"7.4"
"Europa Report",20000000,"6.4"
"The Duchess of Langeais",20000000,"6.5"
"Peggy Guggenheim: Art Addict",20000000,"7.2"
"Dopamine",20000000,"5.9"
"Bellflower",20000000,"6.3"
"Breathe",20000000,"7.1"
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",20000000,"7.8"
"Savage Grace",20000000,"5.7"
"Separate Lies",20000000,"6.4"
"The Good Boss",20000000,"7.1"
"The Imposter",20000000,"7.4"
"In My Country",20000000,"6"
"Capital",20000000,"6.5"
"Mondays in the Sun",20000000,"7.5"
"Fire of Love",20000000,"7.6"
"Incitement",20000000,"7.1"
"Guerrilla: The Taking of Patty Hearst",20000000,"7.1"
