"title","budget_usd","rating"
"Winter of Frozen Dreams",84000000,"4.6"
"Wild Horse, Wild Ride",84000000,"7.4"
"Garmento",83000000,"6.3"
"Falling for Grace",83000000,"5.8"
"The Feast",825000,"5.6"
"The Painting",825000,"7.3"
"Runaway Slave",820000,"6.8"
"Unknown Pleasures",82500000,"6.8"
"Welcome to Pine Hill",82000000,"6.2"
"Carole King Home Again: Live in Central Park",82000000,"7.4"
"Manakamana",82000000,"6.4"
"Flow: For Love of Water",82000000,"7.5"
"Adventures in Success",813505,"4"
"Candy",81200000,"7.2"
"Terkel in Trouble",81000000,"7.1"
"Death of a Ghost Hunter",81000000,"4.3"
"Dr. Benny",805565,"7.1"
"Drivers Wanted",800000,"6.9"
"My Suicide",800000,"7.1"
"The Family Tree",800000,"5.4"
"The Winding Stream",800000,"7.7"
"Mayday",800000,"4.4"
"Eleven Minutes",800000,"6.6"
"Afghan Star",800000,"7.2"
"Fulltime Killer",800000,"6.8"
"Blind Mountain",800000,"7.5"
"Saint of 9/11",800000,"7.7"
"Noise",800000,"6.1"
"Made in France",800000,"6.2"
"Naked Boys Singing!",800000,"6"
"Food of Love",800000,"6"
"The Cartel",800000,"7.5"
"Far Out Isn't Far Enough: The Tomi Ungerer Story",800000,"7.8"
"The Tiger and the Snow",800000,"7"
"Welcome to Leith",800000,"6.9"
"Unlocking the Cage",800000,"7"
"The Dhamma Brothers",80000000,"7.6"
"Mr. Blue Sky",80000000,"7.2"
"How to Live Forever",80000000,"6.1"
"The People I've Slept With",80000000,"4.8"
"Glory",80000000,"7.6"
"Sacred Stage: The Mariinsky Theater",80000000,"8.8"
"The Day After",80000000,"6.9"
"Lucky Them",80000000,"6.1"
"4 Days in France",80000000,"5.8"
"Frankie and Johnny Are Married",80000000,"6"
"Stomp! Shout! Scream!",80000000,"4.6"
"Big Animal",80000000,"7.1"
"78/52",80000000,"7.3"
"Unknown",80000000,"6.4"
"Imagining Argentina",80000000,"6.1"
"Save the Date",80000000,"5.7"
"Gossamer Folds",80000000,"6.9"
"Full Grown Men",80000000,"4.9"
"Nobody Else But You",80000000,"6.6"
"Coming Through the Rye",80000000,"6.3"
"China Blue",80000000,"7.5"
"Strangers on the Earth",80000000,"7.5"
"Quattro Noza",80000000,"2.9"
"The Aggressives",80000000,"6.7"
"Missing Young Woman",80000000,"7.1"
"They Come to America",80000000,"6.1"
"The Art of Being Straight",80000000,"4.9"
"Bawandar",80000000,"7"
"The Last Movie Star",80000000,"7"
"Flux Gourmet",80000000,"5.8"
"Little Girl Blue",80000000,"6.3"
"The Vortex",80000000,"8.3"
"Adult World",80000000,"6.1"
"Grateful Dead Meet-Up 2019",80000000,"8.2"
"The Paragon",80000000,"6.4"
"loudQUIETloud: A Film About the Pixies",80000000,"7.1"
"China Heavyweight",80000000,"6.4"
"The Jazz Funeral",80000000,"7.6"
"Shem",80000000,"4.7"
"Our Father, the Devil",80000000,"6.9"
"Misconceptions",80000000,"4.7"
"Young & Wild",80000000,"6"
"The French Minister",80000000,"6.4"
"Poster Boy",80000000,"6"
"Cosmos",80000000,"5.7"
"State Funeral",80000000,"7.2"
"Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe",80000000,"7"
"Rick",80000000,"5.9"
"A Bird of the Air",80000000,"6.6"
"The Living Wake",80000000,"6"
"The Phone",80000000,"6.5"
"Ranchero",80000000,"5.1"
"The Windmill Movie",80000000,"6.1"
"Gaudi Afternoon",80000000,"5.9"
"Made Me Do It",80000000,"5.4"
"Peter and the Farm",80000000,"7.1"
"Virginia Minnesota",80000000,"5.5"
"Santa Mesa",80000000,"5.9"
"Lowndes County and the Road to Black Power",80000000,"7.9"
"Brooklyn Brothers Beat the Best",80000000,"6.5"
"Marebito",80000000,"6"
"Summer '04",80000000,"6.4"
"Kenny",80000000,"7.2"
"Everybody Says I'm Fine!",80000000,"6"
"Found Memories",80000000,"7.2"
"Working Woman",80000,"6.8"
"The Hottest August",8900000,"6.4"
"The Color Wheel",8900000,"6.6"
"Twist",8700000,"6.2"
"Ceský sen",8620000,"7.3"
"Street Fight",8600000,"7.9"
"If I Were You",8600000,"6.9"
"Remember This",8540000,"9.1"
"Bicycling with Molière",8500000,"6.6"
"The Journey",8500000,"7.5"
"The Playroom",8500000,"5.3"
"A Monster with a Thousand Heads",8500000,"6.5"
"CBGB",8500000,"6.6"
"Costa Brava, Lebanon",8500000,"6.7"
"A Coffee in Berlin",8500000,"7.3"
"Bang! The Bert Berns Story",8500000,"7.9"
"Sunset Strip",8500000,"5.5"
"Circle",8500000,"3.3"
"C'est pas moi, c'est l'autre",8500000,"5.6"
"Évocateur: The Morton Downey Jr. Movie",8500000,"6.8"
"There's Still Tomorrow",8500000,"7.7"
"Harry + Max",8500000,"5.5"
"Hellbound?",8500000,"6.3"
"Run & Jump",8500000,"6.2"
"Apocalypsis",8500000,"7"
"Cinemania",8500000,"7.1"
"Kiki, Love to Love",8500000,"6.4"
"Behind the Burly Q",8500000,"6.7"
"Armadillo",8500000,"7.4"
"Hollywood Dreams",8500000,"4.5"
"Ultrasuede: In Search of Halston",8300000,"5.3"
"Questions",8300000,"7"
"Henri-Georges Clouzot's Inferno",8300000,"7.4"
"Private",8250000,"6.8"
"Things Will Be Different",8247000,"5.2"
"Hit the Road",8170000,"7.3"
"Attenberg",8000000,"6.2"
"Love, Marilyn",8000000,"7.2"
"Max Rose",8000000,"6.2"
"The Korean",8000000,"3.2"
"A dios momo",8000000,"7"
"Straight Outta Tompkins",8000000,"4.9"
"Mur",8000000,"6.5"
"Approved for Adoption",8000000,"7.3"
"The Heart of Nuba",8000000,"8.4"
"Rock Bottom",8000000,"6"
"Eureka",8000000,"6.1"
"ABCs of Death 2",8000000,"5.4"
"Dark State",8000000,"3"
"Swim Team",8000000,"7.5"
"What Will People Say",8000000,"7.4"
"Them",8000000,"6.3"
"Line of Duty",8000000,"5.3"
"Food and Country",8000000,"6.8"
"Manfast",8000000,"3.5"
"Oy Vey! My Son Is Gay!!",8000000,"5.1"
"Blood Feast",8000000,"3.8"
"Sol LeWitt",8000000,"6.3"
"Our City Dreams",8000000,"6.6"
"Pizza",8000000,"5.5"
"Tell Them Who You Are",8000000,"6.9"
"Bandido",8000000,"5.1"
"Fort McCoy",8000000,"5.9"
"Défense d'aimer",8000000,"5.4"
"Straight Up",8000000,"6.9"
"Senior Year: Love Never Fails",8000000,"7.8"
"Britt-Marie Was Here",8000000,"5.5"
"The Load",8000000,"6.5"
"Searching for the Wrong-Eyed Jesus",8000000,"7.6"
"Zaytoun",8000000,"6.6"
"Very Good Girls",8000000,"5.9"
"They Will Have to Kill Us First",8000000,"7.2"
"Anything",8000000,"6.1"
"Shadowman",8000000,"7.3"
"The Garden",8000000,"7.3"
"Etoiles: Dancers of the Paris Opera Ballet",8000000,"7.3"
"One Cut, One Life",8000000,"6.2"
"The Sower",8000000,"6.5"
"The Charmer",8000000,"6.6"
"Eternal",8000000,"4.8"
"Honeymoon",8000000,"5.7"
"One Peace at a Time",8000000,"7.2"
"Enemies of the State",8000000,"6"
"Sacred",8000000,"7.2"
"Burial",8000000,"5"
"Apparition Hill",8000000,"8.8"
"Children's Party",8000000,"7.5"
"Come Back to Me",8000000,"5.8"
"Vanishing Time: A Boy Who Returned",8000000,"7.3"
"Summer Storm",8000000,"7.2"
"Surviving Progress",8000000,"7.4"
"Kaili Blues",8000000,"7.3"
"Make Me Famous",8000000,"7.2"
"I Am Ali",8000000,"7.2"
"White Rainbow",8000000,"7.6"
"Sueño",8000000,"5.2"
"No Regret",8000000,"6.9"
"Waiting for Dublin",8000000,"4.6"
"44 Inch Chest",8000000,"5.8"
"Choking Man",8000000,"5.9"
"As I Open My Eyes",8000000,"6.7"
"The Sea",8000000,"6.8"
"Laleh Drive",8000000,"5.2"
"Sunflower",8000000,"7.2"
"Almost Holy",8000000,"7.5"
"The Fairy",8000000,"6.2"
"Unoponchash Batash",8000000,"6.8"
"Always Shine",8000000,"5.6"
"Ghost Master",8000000,"5.4"
"The Reception",8000000,"5.9"
"My Piece of the Pie",8000000,"5.8"
"The Channel",8000000,"3.2"
"WMD: Weapons of Mass Deception",8000000,"7.7"
"Quantum Hoops",8000000,"7.9"
"Young Ahmed",8000000,"6.6"
"39 Pounds of Love",8000000,"6.3"
"Life of a King",8000000,"6.9"
"Carlos Castaneda: Enigma of a Sorcerer",8000000,"4.5"
"Design Is One: The Vignellis",8000000,"7"
"Without the King",8000000,"6.8"
"The Villainess",8000000,"6.6"
"The Devil's Hand",8000000,"5"
"Staying Vertical",8000000,"5.9"
"Lolo",8000000,"5.7"
"There There",8000000,"5.2"
"Oyster Farmer",8000000,"6.5"
"The Better Angels",8000000,"6"
"Leaving Home, Coming Home: A Portrait of Robert Frank",8000000,"6.9"
"The Beasts",8000000,"7.5"
"Woman on the Beach",79000000,"6.8"
"Summer Solstice",79000000,"4.6"
"The Cat Rescuers",79000000,"7.7"
"Adventures of Power",79000000,"5.8"
"Corked",79000000,"6.5"
"Anatomy of Hell",780000,"4.4"
"Gift",780000,"6.6"
"Transfixed",780000,"5.5"
"Wild Side",78000000,"6.4"
"Living Life",78000000,"7.2"
"The Velvet Queen",78000000,"7.8"
"Weed the People",78000000,"7.3"
"Rounding",78000000,"5.5"
"Chelsea on the Rocks",78000000,"5.9"
"Stardust",76000000,"4.4"
"Dealt",76000000,"7.5"
"The Iran Job",76000000,"7.2"
"Mifune: The Last Samurai",76000000,"7.2"
"The Rabbi's Cat",750000,"7.1"
"The Freebie",750000,"5.1"
"Secret Lives: Hidden Children and Their Rescuers During WWII",750000,"8.2"
"Never",750000,"5.9"
"The Doors: Break On Thru - A Celebration Of Ray Manzarek",750000,"8.2"
"Baking Up Love",750000,"4.2"
"Milk and Honey",750000,"6.5"
"Lore",5500000,"4.3"
"The Other Side of the Street",750000,"6.7"
"Rangrezz",750000,"5.2"
"Aurora Borealis",750000,"6.7"
"Lansdown",750000,"4"
"The Overnighters",750000,"7.4"
"Sicilian Ghost Story",750000,"6.5"
"Butterfly Girl",750000,"8.3"
