Title,Year,Rating,Budget_usd,genres,awards_content
The Camden 28,2007,7.3,9000000,['Documentary'],"Awards, 2 wins & 1 nomination total"
Man on a Mission: Richard Garriott's Road to the Stars,2010,6.9,9000000,['Documentary'],"Awards, 3 wins total"
Finding Mr. Right,2013,6.5,9000000,"['Comedy', 'Romance']","Awards, 16 wins & 21 nominations total"
Songs My Brothers Taught Me,2015,7.0,9000000,['Drama'],"Awards, 10 wins & 11 nominations total"
London Boulevard,2010,6.2,9000000,"['Crime', 'Drama']","Awards, 1 nomination total"
A Year Without Love,2005,6.2,9000000,"['Drama', 'Romance']","Awards, 4 wins & 5 nominations total"
Reflections of a Broken Memory,2022,7.4,9000000,"['Drama', 'Thriller']",
Touchy Feely,2013,5.3,9000000,"['Comedy', 'Drama']","Awards, 1 nomination total"
An Acceptable Loss,2018,5.5,9000000,"['Drama', 'Thriller']",
Cold Blood,2019,4.7,9000000,"['Action', 'Thriller']",
The Man in the Basement,2021,5.9,9000000,"['Drama', 'Thriller']",
Raze,2013,5.1,9000000,"['Action', 'Drama', 'Horror']","Awards, 2 wins & 2 nominations total"
Harmonium,2016,6.9,9000000,['Drama'],"Awards, 5 wins & 8 nominations total"
"Otto; or, Up with Dead People",2008,5.1,9000000,"['Satire', 'Comedy', 'Drama', 'Fantasy', 'Horror']","Awards, 1 win & 1 nomination total"
9 Dead Gay Guys,2002,6.2,9000,"['Comedy', 'Crime']","Awards, 2 wins total"
Shelter,2007,7.6,880000,"['Drama', 'Romance', 'Sport']","Awards, 11 wins total"
Home Room,2002,7.1,88000000,"['Crime', 'Drama']","Awards, 2 wins & 1 nomination total"
A Paris Education,2018,6.4,88000000,['Drama'],"Awards, 8 nominations total"
Just Another Love Story,2007,7.1,88000000,"['Crime', 'Drama', 'Thriller']","Awards, 5 wins & 9 nominations total"
Killer Raccoons! 2! Dark Christmas in the Dark!,2020,4.2,88000000,['Comedy'],
Irina Palm,2007,7.2,88000000,"['Comedy', 'Drama']","Awards, 8 wins & 7 nominations total"
Downtown Express,2011,7.9,87000000,"['Drama', 'Music', 'Romance']",
Call Me Kuchu,2012,7.6,87000000,['Documentary'],"Awards, 16 wins & 13 nominations total"
Last Dance,2002,7.4,86500000,['Documentary'],"Awards, 1 win total"
"L'Chayim, Comrade Stalin",2002,6.9,86000000,['Documentary'],
Daaaaaali!,2023,6.6,850000,"['Comedy', 'Drama']","Awards, 1 win & 1 nomination total"
Leonera,2008,7.0,850000,"['Crime', 'Drama']","Awards, 15 wins & 21 nominations total"
Vazante,2017,6.4,850000,"['Adventure', 'Drama']","Awards, 5 wins & 31 nominations total"
Mama Africa,2011,7.0,850000,"['Biography', 'Documentary', 'Music']",
Revolution OS,2001,7.2,850000,"['Comedy', 'Documentary']",
The Helix... Loaded,2005,2.2,850000,"['Parody', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",
Building Hope,2011,,85900000,"['Documentary', 'Family']","Awards, 1 win total"
In the House of Flies,2012,4.4,85000000,['Thriller'],"Awards, 5 wins & 1 nomination total"
Ferrante Fever,2017,6.3,85000000,['Documentary'],
Anchor Baby,2010,6.5,85000000,"['Drama', 'Thriller']","Awards, 3 wins & 2 nominations total"
Harold and Lillian: A Hollywood Love Story,2015,7.9,85000000,"['Biography', 'Documentary']","Awards, 3 nominations total"
11 Flowers,2011,7.0,85000000,"['Crime', 'Drama', 'History']","Awards, 4 wins & 8 nominations total"
Visual Acoustics,2008,7.4,85000000,['Documentary'],"Awards, 2 wins & 1 nomination total"
The Gospel of Eureka,2018,6.3,85000000,"['Documentary', 'Music']","Awards, 1 win & 7 nominations total"
The Inner Life of Martin Frost,2007,5.1,85000000,"['Comedy', 'Drama', 'Fantasy']",
Trophy,2017,7.3,85000000,['Documentary'],"Awards, 2 wins & 6 nominations total"
Landfill Harmonic,2015,8.1,85000000,"['Biography', 'Documentary', 'Drama', 'Family', 'Music']","Awards, 22 wins & 2 nominations total"
The Intruder,2004,6.6,85000000,['Drama'],"Awards, 4 nominations total"
I Sell the Dead,2008,6.0,85000000,"['B-Horror', 'Dark Comedy', 'Comedy', 'Horror']","Awards, 1 win & 5 nominations total"
Into Eternity: A Film for the Future,2010,7.3,85000000,['Documentary'],"Awards, 2 wins & 9 nominations total"
Perestroika,2009,4.3,85000000,['Drama'],
The Taqwacores,2010,5.9,85000000,"['Drama', 'Music']","Awards, 7 wins & 1 nomination total"
I Used to Be Darker,2013,5.6,85000000,"['Drama', 'Music']","Awards, 1 win & 3 nominations total"
Cavemen,2013,5.3,85000000,['Comedy'],
The Unknown Soldier,2006,7.4,85000000,"['Documentary', 'History']","Awards, 1 win total"
"My Country, My Country",2006,7.1,85000000,['Documentary'],"Nominated for 1 Oscar, 4 nominations total"
Elevate,2011,6.9,85000000,['Documentary'],"Awards, 1 nomination total"
Midnight Traveler,2019,7.6,85000000,"['Documentary', 'War']","Awards, 25 wins & 18 nominations total"
Antônia,2006,6.3,85000000,"['Drama', 'Musical']","Awards, 7 wins & 11 nominations total"
Herman's House,2012,6.3,85000000,"['Crime', 'Documentary']","Awards, 2 wins & 4 nominations total"
Skin Deep,2022,6.1,85000000,"['Drama', 'Fantasy', 'Romance']","Awards, 5 wins & 4 nominations total"
Divan,2003,6.8,85000000,['Documentary'],"Awards, 2 wins total"
Death Defying Acts,2007,5.8,85000000,"['Period Drama', 'Psychological Thriller', 'Tragedy', 'Drama', 'History', 'Romance', 'Thriller']","Awards, 5 wins & 7 nominations total"
Japón,2002,6.8,85000000,['Drama'],"Awards, 16 wins & 10 nominations total"
Stage Fright,2014,5.2,85000000,"['Slasher Horror', 'Whodunnit', 'Comedy', 'Horror', 'Musical', 'Mystery']","Awards, 2 nominations total"
Cadejo Blanco,2021,6.7,85000000,"['Psychological Drama', 'Drama', 'Thriller']","Awards, 4 wins & 7 nominations total"
Smoke Sauna Sisterhood,2023,7.1,85000000,['Documentary'],"Awards, 17 wins & 30 nominations total"
Ode to Joy,2019,6.4,85000000,"['Comedy', 'Romance']","Awards, 2 wins total"
The Tale of King Crab,2021,6.7,85000000,"['Adventure', 'Drama']","Awards, 13 wins & 14 nominations total"
The Strange Little Cat,2013,6.6,85000000,"['Comedy', 'Drama']","Awards, 6 wins & 9 nominations total"
Tikkun,2015,6.4,85000,"['Drama', 'Mystery']","Awards, 12 wins & 7 nominations total"
The Great Flood,2012,6.9,85000,"['Documentary', 'History', 'Music']",
Pop Aye,2017,6.6,84500000,"['Comedy', 'Drama']","Awards, 5 wins & 15 nominations total"
Autumn,2004,6.0,84000000,"['Crime', 'Drama']",
Refusenik,2007,8.1,84000000,['Documentary'],
Elite Squad,2007,8.0,84000000,"['Cop Drama', 'Action', 'Crime', 'Drama', 'Thriller']","Awards, 47 wins & 16 nominations total"
Winter of Frozen Dreams,2009,4.6,84000000,"['True Crime', 'Crime', 'Drama']",
"Wild Horse, Wild Ride",2011,7.4,84000000,"['Documentary', 'Western']","Awards, 1 win & 2 nominations total"
Garmento,2002,6.3,83000000,"['Dark Comedy', 'Comedy', 'Drama']","Awards, 1 win total"
Falling for Grace,2006,5.8,83000000,"['Comedy', 'Family', 'Romance']","Awards, 1 win & 1 nomination total"
The Feast,2021,5.6,825000,"['Folk Horror', 'Drama', 'Horror', 'Mystery', 'Thriller']","Awards, 5 wins & 8 nominations total"
The Painting,2011,7.3,825000,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']","Awards, 2 wins & 3 nominations total"
Runaway Slave,2012,6.8,820000,"['Documentary', 'History']",
Unknown Pleasures,2002,6.8,82500000,"['Comedy', 'Drama']","Awards, 2 wins & 5 nominations total"
Welcome to Pine Hill,2012,6.2,82000000,['Drama'],"Awards, 6 wins & 2 nominations total"
Carole King Home Again: Live in Central Park,2023,7.4,82000000,['Music'],
Manakamana,2013,6.4,82000000,['Documentary'],"Awards, 6 wins & 13 nominations total"
Flow: For Love of Water,2008,7.5,82000000,['Documentary'],"Awards, 1 win & 2 nominations total"
Adventures in Success,2021,4.0,813505,['Comedy'],
Candy,2006,7.2,81200000,"['Drama', 'Romance']","Awards, 6 wins & 17 nominations total"
Terkel in Trouble,2004,7.1,81000000,"['Adult Animation', 'Computer Animation', 'Animation', 'Comedy', 'Musical', 'Mystery', 'Thriller']","Awards, 7 wins & 3 nominations total"
Death of a Ghost Hunter,2007,4.3,81000000,"['Supernatural Horror', 'Horror', 'Thriller']","Awards, 1 win total"
Dr. Benny,2003,7.1,805565,['Comedy'],
Drivers Wanted,2005,6.9,800000,['Comedy'],
My Suicide,2009,7.1,800000,"['Dark Comedy', 'Satire', 'Comedy', 'Drama']","Awards, 13 wins & 1 nomination total"
The Family Tree,2011,5.4,800000,"['Teen Comedy', 'Comedy', 'Drama']",
The Winding Stream,2014,7.7,800000,"['Biography', 'Documentary', 'Family', 'Music']","Awards, 1 win & 1 nomination total"
Mayday,2021,4.4,800000,"['Drama', 'Fantasy', 'Mystery']","Awards, 1 win & 4 nominations total"
Eleven Minutes,2008,6.6,800000,['Documentary'],
Afghan Star,2009,7.2,800000,"['Documentary', 'Music']","Awards, 3 wins & 3 nominations total"
Fulltime Killer,2001,6.8,800000,"['Gun Fu', 'Action', 'Crime', 'Drama', 'Thriller']","Awards, 3 nominations total"
